component,1,Propylene,Propane,Formaldehyde,Ethylene oxide,Acetaldehyde,Isopentane,Pentane,1-Propanal,Ethyl Formate,Acetone,Chloroform,Methanol,Vinyl acetate,1-Butanal,Ethyl Acetate,Ethanol,Benzene,Cyclohexane,Acetonitrile,Isopropanol,1-Propanol,2-Butanol,Water,Crotonaldehyde,Diethyl Acetal,2-Methyl-1-propanol,Toluene,1-Butanol,Acetic Acid,2-Methyl-1-butanol,3-Methyl-1-butanol,Ethylbenzene,p-Xylene,m-Xylene,Acetic anhydride,o-Xylene,Cumene,n-Propylbenzene,m-Ethyltoluene,"1,2,3-Trimethylbenzene",Benzaldehyde,Phenol,Anilin,Ethylene glycol,Acetophenone
component_short,1,P,nP,F,EO,AA,IP,C5,PA,EF,A,CF,M,VA,BA,EA,E,BZ,CH,AN,IPA,1PA,2BA,W,CA,DA,M2P1,T,B1,MCA,M2B1,M3B1,EBZ,pX,mX,EAH,oX,C,nPBz,mET,TM123Bz,PM,PH,AI,EO,APO
molecular_mass,g/mol,42.081,44.096,30.026,44.053,44.053,72.15,72.15,58.08,74.079,58.08,119.377,32.042,86.09,72.107,88.106,46.069,78.114,84.161,41.053,60.096,60.096,74.123,18.015,70.091,118.176,74.123,92.141,74.123,60.053,88.15,88.15,106.167,106.167,106.167,102.09,106.167,120.194,120.194,120.194,120.194,106.124,94.113,93.128,62.068,120.151
omega,1,0.1398,0.1523,0.2818,0.1974,0.2907,0.2275,0.2515,0.2559,0.2847,0.3065,0.2219,0.564,0.3513,0.2774,0.3664,0.6452,0.21,0.2096,0.3379,0.6677,0.6218,0.5722,0.3449,0.3382,0.4473,0.5848,0.2621,0.5935,0.4665,0.6784,0.589,0.3026,0.3215,0.3259,0.4535,0.3104,0.3258,0.3447,0.3226,0.3664,0.3127,0.4435,0.3775,0.4868,0.3643
temperature_critical,K,365.57,369.83,408,469.15,466,460.43,469.7,504.4,508.4,508.2,536.4,512.64,519.13,537.2,523.3,513.92,562.16,553.58,545.5,508.3,536.78,536.05,647.13,569,541,547.78,591.8,563.05,591.95,565,577.2,617.2,616.23,617.05,606,630.33,631.1,638.38,637.15,664.53,695,694.25,699,719.7,709.5
pressure_ritical,atm,46.04,41.924,65.038,70.96,54.774,33.368,33.259,48.557,46.78,46.395,54.004,79.911,39.062,42.635,38.293,60.676,48.339,40.197,47.668,46.997,51.073,41.244,217.666,41.944,29.41,42.438,40.523,43.652,57.103,38.293,38.786,35.588,34.651,34.898,39.477,36.852,31.67,31.582,28.029,34.09,45.892,60.498,52.406,75.993,37.898
density_critical,m3/kmol,0.1884,0.2,0.115,0.1403,0.154,0.3058,0.313,0.204,0.229,0.209,0.239,0.118,0.27,0.258,0.286,0.167,0.259,0.308,0.173,0.22,0.219,0.269,0.0559,0.25,0.402,0.273,0.316,0.275,0.1797,0.327,0.327,0.374,0.379,0.376,0.29,0.369,0.427,0.44,0.49,0.414,0.324,0.229,0.27,0.191,0.386
temperature_normal_boiling,K,225.46,231.11,254.05,283.6,294,300.994,309.22,321.15,327.46,329.44,334.33,337.85,345.65,347.95,350.21,351.44,353.24,353.87,354.75,355.41,370.35,372.7,373.15,375.37,377.35,380.81,383.78,390.81,391.05,401.85,404.35,409.35,411.51,412.27,412.7,417.58,425.56,432.391,434.48,449.27,451.9,454.99,457.15,470.45,475.15
rg,Aa,2.254,2.431,1.215,1.937,2.083,3.324,3.337,2.643,2.963,2.746,3.249,1.552,2.969,3.08,3.468,2.259,3.004,3.242,1.841,2.807,2.736,3.203,0.615,3.087,4.329,3.332,3.472,3.225,2.61,3.612,3.684,3.897,3.831,3.937,3.579,3.836,4.322,4.344,4.265,4.127,3.751,3.415,3.436,2.564,4.09
dm,Debye,0.3657,0,2.3291,1.8885,2.6888,0.1301,0,2.521,1.9305,2.8807,1.0102,1.6996,1.7896,2.7188,1.7806,1.6906,0,0.6085,3.9269,1.6607,1.6787,1.6607,1.8495,3.6571,1.0791,1.6397,0.3597,1.6607,1.7386,0,1.7986,0.5995,0,0.2998,2.7878,0.6295,0.3897,0.3687,0.3297,0.5599,3.2074,1.4508,1.5288,2.3082,3.0276
solubility_parameter,Mpa^0.5,13.1524,13.1,23.8248,21.718,19.9094,13.8578,14.4,19.3166,19.0695,19.7297,18.92,29.5906,18.5849,18.6632,18.3456,26.1333,18.7296,16.7573,24.0497,23.4083,24.4518,22.5414,47.8127,21.0078,15.8142,22.9094,18.3242,23.3536,19.0078,22.1107,22.1574,17.9848,17.9031,18.0535,22.0125,18.3923,17.4362,17.6612,17.8567,18.3439,21.5978,24.6326,24.1171,33.7033,20.9326
vanderWals_volume,m3/kmol,0.03408,0.03757,0.0186,0.02416,0.02881,0.05802,0.05803,0.03904,0.04274,0.03904,0.0435,0.02171,0.04928,0.04927,0.05277,0.03194,0.0484,0.0614,0.02837,0.04216,0.04217,0.05239,0.01237,0.04575,0.07565,0.05239,0.05951,0.0524,0.0333,0.06262,0.06262,0.06974,0.07066,0.07066,0.0544,0.07066,0.07996,0.07997,0.08089,0.08181,0.06098,0.0538,0.05638,0.03654,0.07121
Epsilon[-],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
enthalpy_of_formation_ideal_gas,kJ/kmol,19710,-104680,-108600,-52630,-166200,-153700,-146760,-186300,-388300,-215700,-102900,-200940,-314900,-207000,-444500,-234950,82880,-123300,74040,-272700,-255200,-292900,-241810,-100600,-453500,-283200,50170,-274600,-432800,-302090,-302100,29920,18030,17320,-572500,19080,4000,7900,-1800,-9500,-36800,-96399,87100,-387500,-86700
entropy_of_formation_ideal_gas,kJ/kmol/K,266.6,270.2,218.66,242.99,264.2,343.74,349.45,304.4,328.2,295.4,295.6,239.88,328,343.65,359.7,280.64,269.3,297.28,243.29,309.2,322.47,364.69,188.72,317.3,454,348,320.99,361.48,282.5,393.5,387.7,360.63,352.23,358.54,389.9,353.83,386,400.14,404.2,380.5,335.9,314.81,319.8,323.5,384.5
saturation_pressure_constant_A,Pa,57.263,59.078,101.51,91.944,193.69,72.35,78.741,80.581,73.833,69.006,146.43,81.768,5.74E+01,99.33,66.824,74.475,83.918,1.17E+02,58.302,76.964,88.134,152.54,73.649,61.144,136.12,187.79,80.877,9.32E+01,53.27,4.10E+02,1.07E+02,88.09,8.55E+01,84.782,1.01E+02,9.04E+01,1.44E+02,8.79E+01,8.40E+01,5.40E+01,1.16E+02,9.54E+01,66.287,7.93E+01,6.27E+01
saturation_pressure_constant_B,Pa,-3382.4,-3492.6,-4917.2,-5293.4,-8036.7,-5010.9,-5420.3,-5896.1,-5817,-5599.6,-7792.3,-6876,-5.70E+03,-7083.6,-6227.6,-7164.3,-6517.7,-7103.3,-5385.6,-7623.8,-8498.6,-11111,-7258.2,-6.35E+03,-8326.2,-1.30E+04,-6902.4,-9.19E+03,-6304.5,-2.03E+04,-1.02E+04,-7688.3,-7.60E+03,-7.60E+03,-8873.2,-7948.7,-9687.7,-8108.1,-8113.4,-6996.5,-9331.2,-10113,-8207.1,-10105,-8088.8
saturation_pressure_constant_C,Pa,-5.7707,-6.0669,-13.765,-11.682,-29.502,-7.883,-8.8253,-8.9301,-7.81E+00,-7.0985,-20.614,-8.7078,-5.03E+00,-1.17E+01,-6.41E+00,-7.327,-9.3453,-15.49,-5.4954,-7.4924,-9.08E+00,-19.025,-7.3037,-5.52E+00,-1.86E+01,-2.43E+01,-8.7761,-9.75E+00,-4.2985,-6.24E+01,-11.695,-9.7708,-9.378,-9.26E+00,-1.15E+01,-1.01E+01,-1.93E+01,-9.65E+00,-8.97E+00,-4.41E+00,-1.46E+01,-1.01E+01,-6.0132,-7.52E+00,-5.54E+00
saturation_pressure_constant_D,Pa,1.04E-05,1.09E-05,0.022031,0.014902,0.043678,8.98E-06,9.62E-06,8.22E-06,6.32E-06,6.22E-06,2.46E-02,7.19E-06,1.10E-17,1.00E-05,1.79E-17,3.13E-06,7.12E-06,0.016959,5.36E-06,5.94E-18,8.33E-18,1.04E-05,4.17E-06,8.86E-18,2.08E-02,1.43E-05,5.80E-06,4.78E-18,8.89E-18,0.063353,6.80E-18,5.88E-06,5.69E-06,5.54E-06,6.13E-06,5.98E-06,1.77E-02,5.27E-06,3.80E-06,2.74E-18,0.011932,6.76E-18,2.84E-18,7.34E-19,2.08E-18
saturation_pressure_constant_E,Pa,2,2,1,1,1,2,2,2,2,2,1.00E+00,2,6.00E+00,2,6,2,2,1,2,6,6,2.00E+00,2,6,1.00E+00,2,2,6,6,1,6,2,2,2,2.00E+00,2,1.00E+00,2.00E+00,2.00E+00,6.00E+00,1,6.00E+00,6,6.00E+00,6
heat_of_vaporisation_constant_A,J/kmol,28694000,29209000,30760000,36652000,46070000,37700000,39109000,41492000,45909000,42150000,41860000,52390000,4.77E+07,46403000,49330000,56900000,47500000,4.49E+07,43511000,63080000,63300000,72560000,52053000,51261000,50201000,76190000,50144000,67390000,20265000,77839000,80815000,54640000,53740000,54600000,63520000,55330000,57950000,58619000,61200000,58800000,61943000,73060000,71950000,82900000,66104000
heat_of_vaporisation_constant_B,J/kmol,0.8375,0.78237,0.2954,0.37878,0.62,0.3952,0.38681,0.36751,0.4123,0.3397,0.3584,0.3682,3.77E-01,0.3849,0.3847,0.3359,0.45238,0.3974,0.34765,0.3921,0.3575,0.4774,0.3199,0.36832,0.33274,0.5047,0.3859,0.173,0.11911,0.45313,0.50185,0.392,0.3656,0.3726,0.3986,0.377,0.3956,0.38194,0.4176,0.3452,0.38194,0.4246,0.458,0.4266,0.37425
heat_of_vaporisation_constant_C,J/kmol,-0.9216,-0.77319,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0.0534,0,0,0,0,0,-0.212,0,0,0,0,0.2915,-1.3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_of_vaporisation_constant_D,J/kmol,0.5012,0.39246,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,-0.1181,0,0,0,0,0,0.25795,0,0,0,0,0,1.4227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat_capacity_ideal_gas_constant_A,J/kmol/K,43390,51920,33270,33460,44510,74600,88050,71740,53700,57040,39420,39252,5.36E+04,89657,99810,49200,44420,43200,41914,57230,61900,82020,33363,67452,130010,87940,58140,74540,40200,108900,110600,78440,75120,75680,71300,85210,108100,96885,94230,105200,77147,43400,65330,82000,85400
heat_capacity_ideal_gas_constant_B,J/kmol/K,152000,192450,49542,121160,106870,326500,301100,191400,188600,163200,65730,87900,2.12E+05,237310,209310,145770,232050,373500,88760,191000,202130,252200,26790,180750,271420,241600,286300,259070,136750,218500,221000,339900,339700,339240,222200,329540,379320,379540,389900,379000,248090,244500,251920,127800,233400
heat_capacity_ideal_gas_constant_C,J/kmol/K,1425,1626.5,1866.6,1608.4,1614.1,1545,1650.2,2014.4,1207,1607,928,1916.5,1.20E+03,1975.4,2022.6,1662.8,1494.6,1192,1581.8,1421,1629.3,1601,2610.5,1487.8,830.09,1718,1440.6,1607.3,1262,853,876,1559,1492.8,1496,1620.3,1494.4,1750.5,1516.8,1524.4,1481.4,1608.3,1152,1460.8,1698,831
heat_capacity_ideal_gas_constant_D,J/kmol/K,78600,116800,28075,82410,61350,192300,189200,117080,86400,96800,49300,5.37E+04,1.15E+05,158660,180300,93900,172130,163500,50320,121550,129560,158640,8896,110750,157280,165400,189800,173200,70030,140000,122000,242600,224700,224700,167600,211500,300270,266180,258400,233100,199760,151200,188700,92900,77300
heat_capacity_ideal_gas_constant_E,J/kmol/K,623.9,723.6,934.9,737.3,737.8,666.7,747.6,930.6,496,731.5,399.6,896.7,5.10E+02,904.13,928.05,744.7,-678.15,-530.1,699.8,626,727.4,-704.15,1169,657.08,2823.1,798.7,-650.43,712.4,569.7,2906,2940,-702,-675.1,-675.9,746.5,-675.8,794.8,694.3,695,667.3,741.12,-507,-653.1,-754,2227
molar_density_constant_A,kmol/m3,1.4094,1.3757,1.9415,1.836,1.6994,0.9079,0.84947,1.296,1.1343,1.2332,1.0841,2.288,9.59E-01,1.0361,0.8996,1.648,1.0162,0.8908,1.3064,1.24,1.235,0.966,5.459,1.0167,0.6805,0.9968,0.8488,0.965,1.4486,0.82046,0.837,0.6952,0.6816,0.69555,0.86852,0.69883,0.604,0.575,0.46419,0.6535,0.79368,1.3798,1.0405,1.3151,0.64417
molar_density_constant_B,kmol/m3,0.26465,0.27453,0.22309,0.26024,0.26167,0.2761,0.26726,0.26439,0.26168,0.25886,0.2581,0.2685,2.59E-01,0.26731,0.25856,0.27627,0.2655,0.27396,0.22597,0.27342,0.27136,0.26064,0.30542,0.25419,0.27355,0.27226,0.26655,0.2666,0.25892,0.26829,0.27375,0.26037,0.25963,0.26204,0.25187,0.26113,0.25912,0.2527,0.22745,0.27026,0.25711,0.31598,0.2807,0.25125,0.24863
molar_density_constant_C,kmol/m3,365.57,369.83,408,469.15,466,460.43,469.7,504.4,508.4,508.2,536.4,512.64,5.19E+02,537.2,523.3,513.92,562.16,553.58,545.5,508.3,536.78,536.05,647.13,569,541,547.78,591.8,563.05,591.95,565,577.2,617.2,616.23,617.05,606,630.33,631.1,638.38,637.15,664.53,695,694.25,699,719.7,709.5
molar_density_constant_D,kmol/m3,0.295,0.29359,0.28571,0.2696,0.2913,0.28673,0.27789,0.29471,0.2791,0.2913,0.2741,0.2453,2.74E-01,0.28397,0.278,0.2331,0.28212,0.2851,0.28678,0.2353,0.24,0.2746,0.081,0.2884,0.29,0.2389,0.2878,0.24419,0.2529,0.2322,0.22951,0.2844,0.2768,0.27602,0.31172,0.27429,0.2914,0.2913,0.26223,0.2608,0.28673,0.32768,0.29236,0.2187,0.28661
surface_tension_constant_A,kg/s^2,0.053595,0.05092,0.15561,0.07473,0.072686,0.050926,0.05202,0.068082,0.06095,0.0622,0.069284,0.03513,6.49E-02,0.067432,0.05987,0.03764,0.07195,0.065605,0.068249,0.03818,0.04533,0.04645,0.18548,6.60E-02,5.59E-02,4.75E-02,0.06685,4.98E-02,0.057502,5.45E-02,0.050185,0.066,0.06485,0.0657,0.0843,0.0661,0.0639,0.063349,0.067358,0.06504,0.076409,0.0745,0.07726,0.074516,0.074913
surface_tension_constant_B,kg/s^2,1.213,1.2197,1.3242,1.141,1.227,1.2078,1.2041,1.2655,1.0996,1.124,1.1761,-7.04E-06,1.22E+00,1.228,1.122,-2.16E-05,1.2389,1.2663,1.097,-3.82E-05,-6.88E-05,-7.47E-05,2.717,1.28E+00,1.23E+00,-8.67E-05,1.2457,-8.54E-05,1.0769,1.0358,1.0234,1.268,1.274,1.278,1.432,1.254,1.31E+00,1.27E+00,1.36E+00,1.26E+00,1.2179,1.0767,1.08,-8.90E-05,1.1995
surface_tension_constant_C,kg/s^2,0,0,0,0,0,0,0,0,0,0,0,-1.22E-07,0.00E+00,0,0,-1.03E-07,0,0,0,-6.51E-08,-1.60E-08,-1.30E-08,-3.55E+00,0,0,1.02E-08,0.00E+00,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,-3.95E-17,0
surface_tension_constant_D,kg/s^2,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0.00E+00,2.05E+00,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
